Company Name,Industry,Symbol,logo,FNO
Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500495.png,True
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500086.png,True
FDC Ltd.,Healthcare,FDC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531599.png,False
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543384.png,False
Federal Bank Ltd.,Financial Services,FEDERALBNK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500469.png,True
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK590024.png,False
Fine Organic Industries Ltd.,Chemicals,FINEORG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541557.png,False
Finolex Cables Ltd.,Capital Goods,FINCABLES.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500144.png,False
Finolex Industries Ltd.,Capital Goods,FINPIPE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500940.png,False
Firstsource Solutions Ltd.,Services,FSL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532809.png,False
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543663.png,False
Fortis Healthcare Ltd.,Healthcare,FORTIS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532843.png,False
G R Infraprojects Ltd.,Construction,GRINFRA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532940.png,False
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532155.png,True
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK505255.png,False
GMR Airports Infrastructure Ltd.,Services,GMRINFRA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532754.png,True
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540935.png,False
General Insurance Corporation of India,Financial Services,GICRE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540755.png,False
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK507815.png,False
Gland Pharma Ltd.,Healthcare,GLAND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543245.png,False
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500660.png,False
Glenmark Life Sciences Ltd.,Healthcare,GLS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543322.png,False
